Hero,Presence,Win Rate,KDA Ratio,GPM,XPM,Roles
Silencer,0.0,0.5040944210411588,2.783550141842406,417.15734008997885,520.3295268078986,1
Lycan,0.0,0.4983125192510092,2.9588634743739486,427.590657858527,536.6296441266073,1
Monkey King,0.0,0.49649789066049593,2.3294537261706503,365.9255086711224,465.3399430230434,1
Dark Willow,0.0,0.5011986897990599,2.967326297328777,432.4696160356233,533.0838074003273,1
Clinkz,0.0,0.5037513950226868,2.8047669373776616,424.1451656941027,507.30376420254186,1
Weaver,0.0,0.5091721060140926,2.615067841220075,412.8319596148459,497.9460794380796,1
Skywrath Mage,0.0,0.513781220222934,2.7396309207618654,386.52791019782586,477.7740896104848,1
Snapfire,0.0,0.500119855278929,2.7011144691874684,422.2630344399594,515.6789705924806,1
Elder Titan,0.0,0.4909392265907277,2.7706621288626407,443.17773467149044,528.051867252989,1
Abaddon,0.0,0.497384986669452,2.913835412558061,437.51590863079156,532.082150519102,1
Venomancer,0.0,0.5123698677230332,2.911840215810748,425.92879829534996,513.3480163639772,1
Visage,0.0,0.5003231984250048,2.7219833359746675,406.4749853670272,500.453034132023,1
Riki,0.0,0.5072388117341727,2.74248666670684,428.2391313124893,518.0241630183165,1
Pugna,0.0,0.4993951927316038,2.7333817171275934,418.300930644828,505.224875683585,1
Earthshaker,0.0,0.49279596444906687,2.8424380122004655,435.411758666765,537.5110333756951,1
Razor,0.0,0.5073509991856477,2.810971962925944,412.89972391085604,511.01236835564015,1
Alchemist,0.0,0.5166366572641248,2.9802130695401323,479.80224351359414,554.9805488031691,1
Chen,0.0,0.5056969618974188,2.9180236426990325,434.8555299587502,525.5631080217449,1
Huskar,0.0,0.5140540963455712,2.536299407983563,340.77219932004454,437.57470855355854,1
Bloodseeker,0.0,0.5070768436640136,2.6629118478622287,397.7071673180327,491.7394244961636,1
Undying,0.0,0.4976264709974079,2.8153184176164596,455.4961307469583,546.9489885525661,1
Arc Warden,0.0,0.5064288444970315,2.8531247993830684,439.7269759587156,513.6444976285946,1
Lone Druid,0.0,0.5067359746878971,2.650960472940898,403.10100656200837,497.3816354648049,1
Sniper,0.0,0.5096761000807105,2.758746412646605,398.1515520545745,493.2421816551888,1
Lina,0.0,0.48018481706343635,2.618719494298935,413.4770040417964,496.6894854756545,1
Pudge,0.0,0.5137446837369744,2.580539557924964,402.31995730296956,496.450608927783,1
Hoodwink,0.0,0.5018949338183262,2.771444697675091,425.669384593472,523.1297757844351,1
Leshrac,0.0,0.5032872388782604,2.699561269078844,414.70350099708304,506.08456292517957,1
Tiny,0.0,0.509554835711454,2.6489523035897955,404.3949416403988,492.4547793083827,1
Ember Spirit,0.0,0.4885008942259195,2.690595844935324,382.3847270782127,483.4689597447503,1
Earth Spirit,0.0,0.5142736853945729,3.269569289667578,446.49243086292665,539.7597626550735,1
Necrophos,0.0,0.4919108921203745,2.6666243345811718,450.24973390153764,513.9832544680979,1
