Hero,Presence,Win Rate,KDA Ratio,GPM,XPM,Roles
Viper,0.5451,0.5183,3.29,479.0,583.0,2
Sniper,0.5449,0.5292,3.47,527.0,588.0,2
Alchemist,0.5202,0.5153,2.88,765.0,638.0,2
Lina,0.4562,0.47259999999999996,2.77,513.0,607.0,2
Huskar,0.4202,0.5355,2.23,478.0,585.0,2
Kunkka,0.4177,0.4946,3.33,495.0,584.0,2
Broodmother,0.0,0.4964299193826755,2.903581611446016,489.83620946888976,574.7537368138552,2
Leshrac,0.0,0.5060719581244879,2.519226108340374,413.6227925340736,510.11431182432466,2
Razor,0.0,0.4949076629217082,2.3386219757424453,324.6166533445441,438.13711497016305,2
Visage,0.0,0.5139376689048891,2.7725395772383696,415.98117567704793,507.58991433206234,2
Clinkz,0.0,0.5166270267792988,2.4548055072646346,375.5268883149968,459.895651787464,2
Dragon Knight,0.0,0.5223446909728927,2.710324571055215,440.16231438363997,519.0483132683016,2
Windranger,0.0,0.499467200404564,2.9028052851024,471.9333330309902,552.4647912176512,2
Medusa,0.0,0.49830337551409914,2.6556599086277215,410.7540616709533,513.3463174691063,2
Pugna,0.0,0.5048949179888382,2.769333748347287,436.14675260480124,524.7884110691093,2
Magnus,0.0,0.5006737385504376,2.786595185506642,444.2853226712723,530.0519442552967,2
Monkey King,0.0,0.4891797744557766,2.87327999419145,432.8729693753535,533.1511866338219,2
Tiny,0.0,0.49469591329428286,2.60166196560717,406.56782536214575,496.589527025804,2
Necrophos,0.0,0.4987874382815375,2.7895839567634426,422.29953068603174,517.1635728917151,2
Skywrath Mage,0.0,0.49690467078860273,2.942149887340008,438.68710016479906,542.7023335546808,2
Morphling,0.0,0.511678046748126,2.8797997118987206,464.1729246382635,547.6633377880665,2
Lone Druid,0.0,0.5074636851012566,2.700517604787841,409.7478438495724,507.0218661888683,2
Mirana,0.0,0.495893978759462,2.6286356684634895,402.9395422719186,496.4241044745957,2
Pudge,0.0,0.5214728694446843,3.303336328366246,448.16285449553015,543.9632560260627,2
Bounty Hunter,0.0,0.5122405932655033,2.8498560954527674,394.4150639063574,483.51430200205385,2
Silencer,0.0,0.47996766110070926,2.553519545539561,407.36690796211,497.0485131985144,2
Bloodseeker,0.0,0.5070903900527892,2.7822184638126757,419.10935610862725,514.4876403182545,2
